full_name,search,search2,additiona_search,name,name__alternate,last_name,last_name__alternate,nickname,role
Hannah Abbott,Hannah,Hannah,0,Hannah,,Abbott,,,"Hufflepuff student in Harry Potter's year, prefect of Hufflepuff house in fifth year, member of Dumbledore's Army"
Ludo Bagman,Ludo,Ludo,0,Ludo,,Bagman,,,Head of the Department of Magical Games and Sports within the Ministry of Magic
Bathilda Bagshot,Bathilda,Bagshot,1,Bathilda,,Bagshot,,,"author of A History of Magic, great aunt of Gellert Grindelwald."
Katie Bell,Katie,Katie,0,Katie,,Bell,,,Gryffindor student one year above Harry Potter; Chaser on the Gryffindor Quidditch team.
Cuthbert Binns,Cuthbert,Cuthbert,0,Cuthbert,,Binns,,,"ghost, History of Magic professor."
Phineas Nigellus Black,Phineas,Phineas,0,Phineas Nigellus,Phineas,Black,,,"great-great-grandfather of Sirius Black and former headmaster of Hogwarts, whose painting hangs in the office and helps out the current headmaster."
Sirius Black,Sirius,Sirius,0,Sirius,,Black,,,"Harry Potter's godfather, a member of the Order of the Phoenix and prisoner on the run."
Amelia Bones,Amelia,Amelia,0,Amelia,,Bones,,,"Head of the Department of Magical Law Enforcement, aunt of Susan Bones."
Susan Bones,Susan,Susan,0,Susan,,Bones,,,"Hufflepuff student in Harry's year, a member of Dumbledore's Army."
Terry Boot,Terry,Terry,0,Terry,,Boot,,,"Ravenclaw student in Harry's year, a member of Dumbledore's Army."
Lavender Brown,Lavender,Lavender,0,Lavender,,Brown,,,"Gryffindor student in Harry's year, a member of Dumbledore's Army, briefly Ron Weasley's girlfriend."
Millicent Bulstrode,Millicent,Millicent,0,Millicent,,Bulstrode,,,"Slytherin student in Harry's year, a member of Umbridge's Inquisitorial Squad."
Charity Burbage,Charity,Charity,0,Charity,,Burbage,,,Professor of Muggle Studies at Hogwarts during Harry's time at school.
Frank Bryce,Frank,Frank,0,Frank,,Bryce,,,Muggle gardener for the Riddle family.
Alecto Carrow,Alecto,Alecto,0,Alecto,,Carrow,,,"sister of Amycus Carrow, Death Eater and professor of Muggle Studies for one year, Deputy Headmistress of Hogwarts under Severus Snape"
Amycus Carrow,Amycus,Amycus,0,Amycus,,Carrow,,,"brother of Alecto Carrow, Death Eater and professor of Defence Against the Dark Arts for one year and Deputy Headmaster of Hogwarts under Severus Snape"
Reginald Cattermole,Reginald,Reginald,0,Reginald,,Cattermole,,,"employee of the Magical Maintenance Department for the Ministry of Magic, impersonated by Ron Weasley"
Mary Cattermole,Mary,Mary,0,Mary,,Cattermole,,,"Muggle-born wife of Reginald Cattermole, saved by Harry Potter from the Muggle-born Registration Commission."
Cho Chang,Cho,Cho,0,Cho,,Chang,,,"Ravenclaw student one year above Harry, Quidditch Seeker, member of Dumbledore's Army and Harry's first love interest."
Penelope Clearwater,Penelope,Penelope,0,Penelope,,Clearwater,,,Ravenclaw prefect and girlfriend of Percy Weasley
Mrs. Cole,Cole,Cole,0,,,Cole,,,Matron of the orphanage where Tom Marvolo Riddle lived
Michael Corner,Michael,Michael,0,Michael,,Corner,,,"Ravenclaw student in Harry's year, member of Dumbledore's Army, Ginny Weasley's first boyfriend"
Vincent Crabbe,Crabbe,Crabbe,0,Vincent,,Crabbe,,,"Slytherin student in Harry's year, son of Death Eater, Slytherin Quidditch team Beater, a member of the Inquisitorial Squad, a friend of Draco Malfoy."
Colin Creevey,Colin,Colin,0,Colin,,Creevey,,,"Muggle-born Gryffindor student one year below Harry, brother of Dennis Creevey, member of Dumbledore's Army, killed during the Battle of Hogwarts, after sneaking away from the younger evacuated students in the seventh book"
Dennis Creevey,Dennis,Dennis,0,Dennis,,Creevey,,,"Muggle-born Gryffindor student three years below Harry, brother of Colin Creevey,and member of Dumbledore's Army"
Dirk Cresswell,Dirk,Dirk,0,Dirk,,Cresswell,,,"Muggle-born Head of the Goblin Liaison Office, went on the run in Deathly Hallows with fellow muggle-born Ted Tonks, Dean Thomas and goblins Gornuk and Griphook"
Bartemius Barty Crouch Jr,Crouch,Crouch,0,Bartemius,Barty,Crouch Jr,Crouch,,"Death Eater, credited with facilitating the return of Lord Voldemort, received a Dementor's Kiss, used Polyjuice Potion to impersonate Alastor Moody"
Roger Davies,Roger,Roger,0,Roger,,Davies,,,Ravenclaw student who was Captain and Chaser on the Ravenclaw Quidditch team. Went to Yule Ball with Fleur Delacour.
Dawlish,Dawlish,Dawlish,0,,,Dawlish,,,an Auror
Fleur Delacour,Fleur,Fleur,0,Fleur,,Delacour,,,"French student who participated in the Triwizard Tournament representing Beauxbatons, later married Bill Weasley."
Gabrielle Delacour,Gabrielle,Gabrielle,0,Gabrielle,,Delacour,,,"younger sister of Fleur Delacour, saved by Harry in the Triwizard Tournament"
